Year,Spawner,Recruit
1982,43538,88330
1983,44475,149253
1984,50005,136778
1985,40435,116906
1986,41425,191731
1987,41307,115324
1988,39699,125361
1989,60299,247096
1990,59212,113734
1991,42728,221634
1992,39155,69833
1993,36244,134085
1994,56449,57520
1995,50673,77562
1996,74060,82571
1997,53821,132216
1998,35497,123598
1999,37184,111455
2000,25870,108424
2001,52564,106688
2002,42359,52003
2003,80594,97797
2004,48469,56001
2005,67985,78362
2006,62630,58522
2007,34904,44539
2008,33883,41834
2009,65278,80763
2010,32014,54450
2011,46307,105484
