year,Esc,Run,a0.2,a1.1,a1.2,a2.1,a1.3,a2.2,a1.4,a2.3,a1.5,a2.4,a1.6,a2.5,cv_N,cv_E,cv_H,efn
1976,116125,206672,0,0.0477948,7.9305804,0,40.8433843,0.2486499,49.071423,0.0637263,1.6625781,0.0517777,3.98E-03,0,0.27,,0.02,0
1977,231153,324860,0,0.0904214,10.3058236,0,28.9509507,0.1519427,53.5393338,0.5237716,2.1023935,4.3257294,1.61E-03,0,0.35,,0.02,0
1978,154046,237518,0,0.1466893,12.3648721,0,15.7008608,8.49E-03,59.6424606,0.9306272,3.3963306,7.8660399,1.41E-03,0,0.24,,0.02,25
1979,140252,236554,0,0.0270708,45.0583179,0,25.4105958,0.0135354,25.8372254,0.0360944,3.5584028,0.0293267,2.26E-03,0,0.34,,0.02,0
1980,265322,362290,0,0.0182594,18.0171208,0,51.2573101,9.13E-03,24.1988748,0.0243459,6.4360211,0.019781,1.52E-03,0,0.49,,0.02,0
1981,200910,311309,0,0.2153801,7.6370012,0,34.0224296,1.09E-02,54.431755,0.029025,3.6835946,0.0235828,1.81E-03,0,0.33,,0.02,25
1982,36956,143957,0,0.1455022,7.9525151,0,30.7691806,0.022138,57.3280429,0.0590348,3.5859986,0.0817078,3.69E-03,0,0.14,,0.02,25
1983,65906,148051,0,0.4672527,16.4497402,0,26.5718139,0.0178057,52.102124,0.0474817,4.1058376,0.175623,2.97E-03,0,0.2,,0.02,0
1984,86325,175501,0,0.2121016,16.0300276,0.0181893,43.8423149,0.0905516,34.9463726,0.2839126,4.2655309,0.2932047,0.0521535,0,0.26,,0.02,25
1985,63236,145163,0,0.0330378,18.6101076,0,35.7441408,0.1211326,42.0658289,0.0440504,3.329392,0.035791,0.0463151,0,0.22,,0.02,25
1986,53205,123817,0,0.5627757,9.1116611,0,47.7018765,0.0225327,37.2540445,0.0600871,5.1726982,0.0488208,3.76E-03,0,0.29,,0.02,25
1987,78724,182967,0,0.040428,23.5105828,0,29.0014281,0.020214,45.4271802,0.053904,1.9021666,0.043797,3.37E-03,0,0.23,,0.02,0
1988,78856,206619,0,0.0377831,14.3517471,0,46.2907497,0.0188916,33.4069254,0.0503775,5.8218673,0.0409317,3.15E-03,0,0.15,,0.02,25
1989,88320,214473,0,0.0418739,16.024482,0,31.2346369,0.7361819,47.9798013,0.3419298,3.063596,0.4949459,3.49E-03,0,0.2,,0.02,25
1990,103607,267793,0,1.0895778,20.9303219,0,48.5890892,0.0224842,27.1427399,0.0599579,2.1333183,0.0487158,3.75E-03,0,0.16,,0.02,25
1991,102370,215518,0.0352291,0.0380574,12.1503034,0,33.4849923,0.891144,49.8230037,0.5902228,2.4438348,0.3898968,0.0151393,0.1399336,0.18,,0.02,25
1992,129778,260878,0,2.3723898,26.6956639,0,33.3885023,0.2375612,35.0940961,0.0901795,1.9334734,0.0840148,2.91E-03,0,0.15,,0.02,25
1993,172718,272385,0,0.1537118,28.4077591,0,30.4775946,0.0768559,36.5039854,0.2855529,3.7708458,0.2626588,3.03E-03,0.0330988,0.2,,0.02,25
1994,276084,398188,0.02251,0.1848385,10.8013807,0.04502,53.189393,0.3562751,32.7613647,0.4967276,1.5318283,0.4107185,2.41E-03,0,0.27,,0.02,25
1995,236491,371220,0,0.0388264,17.3794184,0,29.0166327,0.0151971,52.2883375,0.1042321,1.1092314,0.0966336,2.53E-03,0,0.22,,0.02,25
